code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB
sh600669,1993-08-06,11.0,12.49,10.85,12.02,11.02,25833800.0,306038305.0,417094000.0,935534220.0,0.744489913545,12.02,,,,,,
sh600669,1993-08-09,12.4,12.95,12.1,12.75,0.060732,17711200.0,221900303.0,442425000.0,992351190.0,0.510409221902,12.74999864,,,,,,
sh600669,1993-08-10,13.1,13.1,11.7,11.73,-0.08,11487700.0,142092480.0,407031000.0,912963100.0,0.331057636888,11.7299987488,,,,,,
sh600669,1993-08-11,11.75,12.2,11.75,12.13,0.034101,3455400.0,41564327.0,420911000.0,944095680.0,0.0995792507205,12.1300034361,,,,,,
sh600669,1993-08-12,12.38,12.46,12.1,12.29,0.01319,3705400.0,45486941.0,426463000.0,956548720.0,0.106783861671,12.2899981815,,,,,,
sh600669,1993-08-13,12.45,12.5,12.01,12.25,-0.003255,3694700.0,45371800.0,425075000.0,953435460.0,0.106475504323,12.2499942374,,,,,,
sh600669,1993-08-16,12.5,12.97,12.26,12.8,0.044898,7812200.0,98520817.0,444160000.0,996242760.0,0.225135446686,12.7999944786,,,,,,
sh600669,1993-08-17,13.1,13.49,12.03,12.2,-0.046875,7874400.0,101283769.0,423340000.0,949543890.0,0.22692795389,12.1999947375,,,,,,
sh600669,1993-08-18,12.25,12.45,11.58,11.78,-0.034426,2558200.0,30745183.0,408766000.0,916854670.0,0.0737233429395,11.7799977186,,,,,,
sh600669,1993-08-19,11.89,12.23,11.76,11.89,0.009338,2065800.0,24727164.0,412583000.0,925416130.0,0.0595331412104,11.8899993373,,,,,,
sh600669,1993-08-20,12.0,12.09,11.4,11.43,-0.038688,1609900.0,18635181.0,396621000.0,889613660.0,0.0463948126801,11.429999043,,,,,,
sh600669,1993-08-23,11.39,11.59,10.52,10.6,-0.072616,1912800.0,20845269.0,367820000.0,825013540.0,0.0551239193084,10.5999982325,,,,,,
sh600669,1993-08-24,10.45,10.6,10.12,10.41,-0.017925,1390600.0,14396968.0,361227000.0,810225560.0,0.0400749279539,10.4099932641,,,,,,
sh600669,1993-08-25,10.51,10.8,10.5,10.54,0.012488,1081800.0,11499655.0,365738000.0,820343650.0,0.0311757925072,10.53999326,,,,,,
sh600669,1993-08-26,10.61,10.68,10.36,10.46,-0.00759,535300.0,5606045.0,362962000.0,814117130.0,0.0154265129683,10.4599947112,,,,,,
sh600669,1993-08-27,10.5,10.52,10.07,10.16,-0.028681,944200.0,9632389.0,352552000.0,790767690.0,0.0272103746398,10.1599916029,,,,,,
sh600669,1993-08-30,10.2,10.64,10.09,10.42,0.025591,1018800.0,10644491.0,361574000.0,811003880.0,0.0293602305476,10.419995948,,,,,,
sh600669,1993-08-31,10.54,10.76,10.31,10.43,0.00096,540800.0,5710174.0,361921000.0,811782190.0,0.0155850144092,10.4299991441,,,,,,
sh600669,1993-09-01,10.4,10.48,10.28,10.35,-0.00767,224700.0,2325156.0,359145000.0,805555670.0,0.00647550432277,10.3500010507,,,,,,
sh600669,1993-09-02,10.35,10.65,10.3,10.65,0.028986,223200.0,2318224.0,369555000.0,828905110.0,0.00643227665706,10.6500061811,,,,,,
sh600669,1993-09-03,10.75,11.74,10.51,11.0,0.032864,1482100.0,16042057.0,381700000.0,856146130.0,0.042711815562,11.0000079842,,,,,,
