code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB
sz002654,2012-02-17,17.2,17.5,16.31,16.42,0.368333,15417905.0,259208354.29,288992000.0,1444960000.0,0.876017329545,16.42,,,,,,
sz002654,2012-02-20,16.42,16.88,16.02,16.59,0.010353,7394733.0,123009748.13,291984000.0,1459920000.0,0.420155284091,16.58999626,,,,,,
sz002654,2012-02-21,16.43,18.14,16.31,17.69,0.066305,9713586.0,167788755.58,311344000.0,1556720000.0,0.551908295455,17.689995962,,,,,,
sz002654,2012-02-22,17.55,18.48,17.35,18.04,0.019785,7801394.0,139031891.99,317504000.0,1587520000.0,0.443261022727,18.0399925321,,,,,,
sz002654,2012-02-23,17.88,18.2,17.58,17.95,-0.004989,5686100.0,101618516.48,315920000.0,1579600000.0,0.323073863636,17.9499910094,,,,,,
sz002654,2012-02-24,17.91,18.07,17.65,17.93,-0.001114,4285877.0,76531647.42,315568000.0,1577840000.0,0.243515738636,17.9299947194,,,,,,
sz002654,2012-02-27,18.1,18.64,17.73,17.88,-0.002789,6132928.0,111702784.64,314688000.0,1573440000.0,0.348461818182,17.8799879641,,,,,,
sz002654,2012-02-28,17.68,17.98,17.28,17.72,-0.008949,4523680.0,79607659.82,311872000.0,1559360000.0,0.257027272727,17.7199799518,,,,,,
sz002654,2012-02-29,17.55,18.35,17.54,17.56,-0.009029,4452809.0,79948128.56,309056000.0,1545280000.0,0.253000511364,17.5599862529,,,,,,
sz002654,2012-03-01,17.3,18.93,17.06,18.54,0.055809,6164395.0,111790545.42,326304000.0,1631520000.0,0.350249715909,18.5399915256,,,,,,
sz002654,2012-03-02,18.32,18.9,18.22,18.72,0.009709,5297997.0,98681490.92,329472000.0,1647360000.0,0.301022556818,18.7199963034,,,,,,
sz002654,2012-03-05,18.76,19.33,18.44,18.8,0.004274,6166817.0,116524523.91,330880000.0,1654400000.0,0.350387329545,18.8000055676,,,,,,
sz002654,2012-03-06,18.6,19.9,18.51,19.27,0.025,6211756.0,119260357.25,339152000.0,1695760000.0,0.352940681818,19.2700057067,,,,,,
sz002654,2012-03-07,19.04,19.98,18.76,18.85,-0.021796,5241169.0,101545938.24,331760000.0,1658800000.0,0.297793693182,18.8499966624,,,,,,
sz002654,2012-03-08,18.92,19.36,18.6,19.2,0.018568,3394126.0,64312662.48,337920000.0,1689600000.0,0.192848068182,19.2000034004,,,,,,
sz002654,2012-03-09,19.3,19.46,18.9,19.36,0.008333,3057882.0,58737840.28,340736000.0,1703680000.0,0.173743295455,19.3599970287,,,,,,
sz002654,2012-03-12,19.36,19.41,18.85,19.22,-0.007231,2518192.0,48125406.02,338272000.0,1691360000.0,0.143079090909,19.2200048902,,,,,,
sz002654,2012-03-13,19.17,20.44,19.01,19.94,0.037461,4922524.0,97902576.7,350944000.0,1754720000.0,0.279688863636,19.9400054934,,,,,,
sz002654,2012-03-14,19.88,20.13,18.25,18.62,-0.066199,4355324.0,84406417.67,327712000.0,1638560000.0,0.247461590909,18.6199970697,,,,,,
sz002654,2012-03-15,18.84,19.29,18.66,18.98,0.019334,4034387.0,76719696.76,334048000.0,1670240000.0,0.229226534091,18.9799960931,,,,,,
sz002654,2012-03-16,18.63,19.04,18.5,18.99,0.000527,2932060.0,55076256.54,334224000.0,1671120000.0,0.166594318182,18.989998551,,,,,,
sz002654,2012-03-19,18.8,19.18,18.72,19.15,0.008425,2131818.0,40495904.9,337040000.0,1685200000.0,0.121126022727,19.1499892888,,,,,,
sz002654,2012-03-20,19.1,19.1,17.95,18.05,-0.057441,3021610.0,55464327.43,317680000.0,1588400000.0,0.171682386364,18.0499947541,,,,,,
sz002654,2012-03-21,18.2,18.26,17.5,17.9,-0.00831,1960131.0,34951886.74,315040000.0,1575200000.0,0.111371079545,17.8999992977,,,,,,
sz002654,2012-03-22,17.73,18.15,17.62,17.91,0.000559,1152121.0,20597245.02,315216000.0,1576080000.0,0.0654614204545,17.9100053973,,,,,,
sz002654,2012-03-23,17.76,17.93,17.3,17.93,0.001117,1327094.0,23411401.88,315568000.0,1577840000.0,0.0754030681818,17.9300108733,,,,,,
sz002654,2012-03-27,18.06,18.16,17.8,18.07,0.007808,1519516.0,27321290.85,318032000.0,1590160000.0,0.0863361363636,18.0700083982,,,,,,
sz002654,2012-03-28,17.93,18.05,17.06,17.06,-0.055894,1319667.0,22878915.73,300256000.0,1501280000.0,0.0749810795455,17.0600033488,,,,,,
sz002654,2012-03-29,17.0,17.5,16.52,17.0,-0.003517,1294784.0,21949514.18,299200000.0,1496000000.0,0.0735672727273,17.000003317,,,,,,
sz002654,2012-03-30,16.72,17.08,16.09,16.22,-0.045882,1304118.0,21443486.56,285472000.0,1427360000.0,0.0740976136364,16.2200091648,,,,,,
sz002654,2012-04-05,16.22,16.73,16.02,16.7,0.029593,1108857.0,18226837.11,293920000.0,1469600000.0,0.0630032386364,16.7000078961,,,,,,
sz002654,2012-04-06,16.6,16.86,16.49,16.69,-0.000599,907405.0,15105907.65,293744000.0,1468720000.0,0.0515571022727,16.6900045913,,,,,,
sz002654,2012-04-09,16.59,16.63,16.21,16.21,-0.02876,689427.0,11305618.75,285296000.0,1426480000.0,0.0391719886364,16.2100000593,,,,,,
sz002654,2012-04-10,16.1,16.98,15.75,16.85,0.039482,1728577.0,28292889.37,296560000.0,1482800000.0,0.0982146022727,16.8500032816,,,,,,
sz002654,2012-04-11,16.57,16.88,16.42,16.73,-0.007122,1072964.0,17887702.63,294448000.0,1472240000.0,0.0609638636364,16.7299975582,,,,,,
sz002654,2012-04-12,16.78,16.98,16.52,16.95,0.01315,1466587.0,24670463.34,298320000.0,1491600000.0,0.0833288068182,16.9499970261,,,,,,
sz002654,2012-04-13,17.07,17.46,16.91,17.05,0.0059,1658869.0,28546625.89,300080000.0,1500400000.0,0.0942539204545,17.0500020086,,,,,,
sz002654,2012-04-16,16.78,16.78,16.3,16.52,-0.031085,1410989.0,23340318.47,290752000.0,1453760000.0,0.0801698295455,16.5200026962,2011-12-31,2012-04-16,20.1653263804,2.91182596164,19.254258781,4.39019943783
sz002654,2012-04-17,16.5,16.65,16.25,16.39,-0.007869,877538.0,14373604.31,288464000.0,1442320000.0,0.0498601136364,16.3900067949,2011-12-31,2012-04-16,20.0066454272,2.88891280315,19.1027470186,4.35565295845
sz002654,2012-04-18,16.37,16.86,16.37,16.79,0.024405,1218674.0,20300368.71,295504000.0,1477520000.0,0.0692428409091,16.7900049108,2011-12-31,2012-04-16,20.4949076088,2.95941672011,19.5689495596,4.46195266891
sz002654,2012-04-19,16.7,16.99,16.69,16.94,0.008934,1196212.0,20183243.97,298144000.0,1490720000.0,0.0679665909091,16.9400068146,2011-12-31,2012-04-16,20.6780091134,2.98585614909,19.743778555,4.50181575405
sz002654,2012-04-20,17.02,17.52,17.0,17.41,0.027745,2249796.0,38875724.79,306416000.0,1532080000.0,0.127829318182,17.4100073037,2012-03-31,2012-04-20,23.1517496792,3.29799559156,72.8177673679,3.19413087167
sz002654,2012-04-23,17.2,17.39,16.6,16.65,-0.043653,1480699.0,25147280.27,293040000.0,1465200000.0,0.084130625,16.6500082549,2012-03-31,2012-04-20,22.1411063504,3.15402819,69.639053369,3.05469747673
sz002654,2012-04-24,16.49,16.96,16.08,16.41,-0.014414,1119805.0,18326972.71,288816000.0,1444080000.0,0.0636252840909,16.4100150359,2012-03-31,2012-04-20,21.8219644435,3.10856602767,68.6352760538,3.0106670673
sz002654,2012-04-25,16.35,16.6,16.23,16.55,0.008531,747448.0,12278100.69,291280000.0,1456400000.0,0.0424686363636,16.5500088742,2012-03-31,2012-04-20,22.0081276222,3.13508520445,69.2208035938,3.03635106805
sz002654,2012-04-26,16.67,17.1,16.67,16.85,0.018127,987309.0,16694434.79,296560000.0,1482800000.0,0.0560971022727,16.850010885,2012-03-31,2012-04-20,22.4070689516,3.19191489395,70.4755691005,3.09139100386
sz002654,2012-04-27,16.72,16.98,16.47,16.74,-0.006528,762453.0,12693599.47,294624000.0,1473120000.0,0.0433211931818,16.740014014,2012-03-31,2012-04-20,22.2607956055,3.17107807353,70.0155045854,3.07121040339
sz002654,2012-05-02,16.92,17.22,16.71,17.05,0.018519,1370545.0,23371194.74,300080000.0,1500400000.0,0.077871875,17.0500223335,2012-03-31,2012-04-20,22.6730432793,3.22980326837,71.3121217149,3.12808614885
sz002654,2012-05-03,17.05,17.2,16.88,17.11,0.003519,867927.0,14798894.03,301136000.0,1505680000.0,0.0493140340909,17.1100213621,2012-03-31,2012-04-20,22.7528297186,3.24116894607,71.5630690712,3.13909388401
sz002654,2012-05-04,17.0,17.38,16.93,17.26,0.008767,1586022.0,27304837.3,303776000.0,1518880000.0,0.0901148863636,17.2600249194,2012-03-31,2012-04-20,22.9523037767,3.26958427422,72.1904624977,3.16661432009
sz002654,2012-05-08,17.23,17.48,17.11,17.12,-0.008111,1468938.0,25382452.76,301312000.0,1506560000.0,0.0834623863636,17.1200288572,2012-03-31,2012-04-20,22.7661376408,3.24306467617,71.6049256564,3.14092991134
